id,title,url_item,url_image,price,category
34,adidas Originals Superstar Bold trainers in white with rope detail exclusive to ASOS,https://www.asos.com/adidas-originals/adidas-originals-superstar-bold-trainers-in-white-with-rope-detail-exclusive-to-asos/prd/20265285?colourwayid=60038199&SearchQuery=&cid=7046,//images.asos-media.com/products/adidas-originals-americana-low-trainers-in-white/14132821-1-white?$n_480w$&wid=476&fit=constrain,89.95,sale
35,ASOS DESIGN Actually chunky pull on boots in black,https://www.asos.com/asos-design/asos-design-actually-chunky-pull-on-boots-in-black/prd/14832905?colourwayid=16647647&SearchQuery=&cid=7046,//images.asos-media.com/products/adidas-originals-americana-low-trainers-in-white/14132821-1-white?$n_480w$&wid=476&fit=constrain,35.00,sale
36,ASOS DESIGN Day Time chunky flatform lace up trainers in white,https://www.asos.com/asos-design/asos-design-day-time-chunky-flatform-lace-up-trainers-in-white/prd/20694502?colourwayid=60080041&SearchQuery=&cid=7046,//images.asos-media.com/products/adidas-originals-americana-low-trainers-in-white/14132821-1-white?$n_480w$&wid=476&fit=constrain,20.00,sale
37,ASOS DESIGN mix & match lounge two mile jogger in ecru,https://www.asos.com/asos-design/asos-design-mix-match-lounge-two-mile-jogger-in-ecru/prd/21552732?colourwayid=60175795&SearchQuery=&cid=7046,//images.asos-media.com/products/adidas-originals-americana-low-trainers-in-white/14132821-1-white?$n_480w$&wid=476&fit=constrain,20.00,sale
38,ASOS DESIGN Hourglass woven jogger in black,https://www.asos.com/asos-design/asos-design-hourglass-woven-jogger-in-black/prd/21558445?colourwayid=60176301&SearchQuery=&cid=7046,//images.asos-media.com/products/adidas-originals-americana-low-trainers-in-white/14132821-1-white?$n_480w$&wid=476&fit=constrain,28.00,sale
39,ASOS DESIGN mix & match lounge two mile sweat in ecru,https://www.asos.com/asos-design/asos-design-mix-match-lounge-two-mile-sweat-in-ecru/prd/21552730?colourwayid=60175803&SearchQuery=&cid=7046,//images.asos-media.com/products/adidas-originals-americana-low-trainers-in-white/14132821-1-white?$n_480w$&wid=476&fit=constrain,20.00,sale
40,Missguided co-ord oversized joggers in blush,https://www.asos.com/missguided/missguided-co-ord-oversized-joggers-in-blush/prd/20013211?colourwayid=60001127&SearchQuery=&cid=7046,//images.asos-media.com/products/adidas-originals-americana-low-trainers-in-white/14132821-1-white?$n_480w$&wid=476&fit=constrain,24.00,sale
41,Brave Soul Grunge crew neck jumper dress,https://www.asos.com/brave-soul/brave-soul-grunge-crew-neck-jumper-dress/prd/20125806?colourwayid=60010556&SearchQuery=&cid=7046,//images.asos-media.com/products/adidas-originals-americana-low-trainers-in-white/14132821-1-white?$n_480w$&wid=476&fit=constrain,25.00,sale
42,Brave Soul lara smock dress in black,https://www.asos.com/brave-soul/brave-soul-lara-smock-dress-in-black/prd/21915405?colourwayid=60308924&SearchQuery=&cid=7046,//images.asos-media.com/products/adidas-originals-americana-low-trainers-in-white/14132821-1-white?$n_480w$&wid=476&fit=constrain,18.99,sale
43,Urban Threads ribbed smock dress with gold glitter in black,https://www.asos.com/urban-threads/urban-threads-ribbed-smock-dress-with-gold-glitter-in-black/prd/21738771?colourwayid=60193179&SearchQuery=&cid=7046,//images.asos-media.com/products/adidas-originals-americana-low-trainers-in-white/14132821-1-white?$n_480w$&wid=476&fit=constrain,40.00,sale
